iter	MultiClass
248	0.4976098885
249	0.4960228578
250	0.4938680091
251	0.4918642597
252	0.4899550902
253	0.4881321069
254	0.4859714664
255	0.484365708
256	0.4820708178
257	0.4801206444
258	0.4780142342
259	0.4761862141
260	0.4739381728
261	0.4720268329
262	0.470289371
263	0.4685337049
264	0.466883256
265	0.4650382473
266	0.4631542028
267	0.4614941642
268	0.459804569
269	0.4577732217
270	0.4565224325
271	0.4547229306
272	0.4531959081
273	0.4515153125
274	0.4496049011
275	0.4483069428
276	0.4467600936
277	0.4453785093
278	0.4438413144
279	0.4425201293
280	0.4407368662
281	0.4391990846
282	0.4377676552
283	0.4361444542
284	0.4346190286
285	0.4330532035
286	0.4315160585
287	0.4302198641
288	0.4286751385
289	0.4271559739
290	0.4254622981
291	0.4240456734
292	0.4226274158
293	0.4210633398
294	0.4194397926
295	0.4179619595
296	0.4164357653
297	0.4146790731
298	0.4131884813
299	0.4117851819
300	0.4102697215
301	0.4085026968
302	0.4072377198
303	0.4057564369
304	0.4047566501
305	0.4033857343
306	0.4016205204
307	0.4003196645
308	0.3988202981
309	0.3974328293
310	0.3963057592
311	0.3949650361
312	0.3937099256
313	0.3924662098
314	0.3910368774
315	0.3895325883
316	0.3883070885
317	0.3870516156
318	0.3856368552
319	0.3845359004
320	0.3835364248
321	0.3822791746
322	0.3811087299
323	0.3800711691
324	0.3786689019
325	0.3776202775
326	0.376489701
327	0.3754812791
328	0.3742515296
329	0.3729650335
330	0.3716132008
331	0.3704210302
332	0.3689947585
333	0.3679030592
334	0.3666211491
335	0.3654395041
336	0.3641270991
337	0.3632433186
338	0.3620944024
339	0.3611397613
340	0.3599278525
341	0.3586368919
342	0.3575144402
343	0.3566173235
344	0.3555207749
345	0.3543366515
346	0.353366561
347	0.3521196236
348	0.3512289016
349	0.3499709731
350	0.3489079361
351	0.3477289765
352	0.3465756862
353	0.3455809433
354	0.3446262832
355	0.3438235509
356	0.3425434405
357	0.3417100717
358	0.3407272877
359	0.3395386434
360	0.3386370022
361	0.3374138131
362	0.3363392278
363	0.3352813312
364	0.3340418642
365	0.333280413
366	0.3323697633
367	0.3312032545
368	0.330254955
369	0.3292786244
370	0.3284470597
371	0.3275681299
372	0.3266127811
373	0.3257466834
374	0.3248765395
375	0.3239888874
376	0.3231560632
377	0.3222807394
378	0.3214182658
379	0.3203804368
380	0.3195954534
381	0.3187271583
382	0.3179776951
383	0.3171400043
384	0.316293849
385	0.315559101
386	0.3146657532
387	0.3136706744
388	0.3128071957
389	0.3120170746
390	0.3111439417
391	0.3103150533
392	0.3093794879
393	0.3086733458
394	0.3079474014
395	0.3069270967
396	0.3063358096
397	0.3056008214
398	0.3047392708
399	0.3036839054
400	0.3027903532
401	0.3019767584
402	0.3012105871
403	0.3002914667
404	0.2996216416
405	0.2987369784
406	0.2979217134
407	0.2972458649
408	0.2963849258
409	0.2954861622
410	0.2946764805
411	0.2939658883
412	0.2933513941
413	0.2924635854
414	0.2916689294
415	0.2909067329
416	0.2901097249
417	0.2894529849
418	0.2886619743
419	0.2879244089
420	0.2871811502
421	0.2864929344
422	0.2855934066
423	0.2848517532
424	0.2842446494
425	0.2835940906
426	0.2829511857
427	0.2823094142
428	0.2817104766
429	0.2810774516
430	0.2803737039
431	0.2796058864
432	0.2788131614
433	0.2781821943
434	0.2775115253
435	0.2768774169
436	0.276303431
437	0.2755991962
438	0.2749644913
439	0.2742114134
440	0.2737084933
441	0.273017215
442	0.2723114968
443	0.2716092067
444	0.2708817565
445	0.2700833789
446	0.2694833231
447	0.2688293244
448	0.2681413692
449	0.2674995351
450	0.2670623533
451	0.2664604697
452	0.2658324923
453	0.265144796
454	0.2645566232
455	0.2640957301
456	0.2632905387
457	0.26258753
458	0.2618522054
459	0.261285358
460	0.2607087415
461	0.2602718185
462	0.2596219399
463	0.2590396897
464	0.2583402281
465	0.257556174
466	0.2570819373
467	0.2565955061
468	0.2559600972
469	0.2553742183
470	0.2548216272
471	0.2541648121
472	0.253662901
473	0.2531593974
474	0.2526321566
475	0.2519360113
476	0.2514881571
477	0.2509179865
478	0.2503413915
479	0.2497829404
480	0.2492105913
481	0.2486210724
482	0.2479971419
483	0.2474076901
484	0.2468482777
485	0.2462596041
486	0.2457440255
487	0.2451400102
488	0.2444072059
489	0.2439797132
490	0.2434809821
491	0.2430112902
492	0.2425816316
493	0.2419998083
494	0.2414522278
495	0.2410165801
496	0.2405287122
497	0.2399919749
498	0.2395133775
499	0.2390388767
500	0.2384906855
501	0.2379524279
502	0.2373852137
503	0.2368595056
504	0.2362827901
505	0.2357942914
506	0.2352578854
507	0.2347122681
508	0.2343208976
509	0.233826463
510	0.2333213534
511	0.2327078088
512	0.2322714172
513	0.2318054794
514	0.2313961945
515	0.2308977242
516	0.2304256412
517	0.2299196708
518	0.2295554165
519	0.2291039714
520	0.2285990142
521	0.2281253767
522	0.2275468863
523	0.2269740147
524	0.2264904356
525	0.2260148832
526	0.2256068485
527	0.2251262549
528	0.2247146886
529	0.2242272986
530	0.223834717
531	0.2233667777
532	0.222854468
533	0.222319681
534	0.2218418995
535	0.221374517
536	0.220918752
537	0.2205247696
538	0.2200873026
539	0.2195525381
540	0.2191178917
541	0.2186636734
542	0.2181929991
543	0.2177542632
544	0.2173439032
545	0.2168735725
546	0.2164433204
547	0.2159844375
548	0.2155206746
549	0.2150300603
550	0.2145810792
551	0.2141275205
552	0.2137219607
553	0.2133075412
554	0.2130318415
555	0.2125520139
556	0.212143646
557	0.2117459867
558	0.2113324938
559	0.2109252407
560	0.2105078094
561	0.210111933
562	0.2096424309
563	0.2092627017
564	0.2089287567
565	0.2086512639
566	0.2082110606
567	0.2077547079
568	0.2073554649
569	0.2069473997
570	0.206604526
571	0.2061669369
572	0.205859396
573	0.2053936105
574	0.2050084404
575	0.2046089716
576	0.2042390207
577	0.2039245029
578	0.2035969068
579	0.2032341232
580	0.2029048332
581	0.2024600404
582	0.2020793648
583	0.2017434004
584	0.2013058075
585	0.2008924658
586	0.2005684756
587	0.200130521
588	0.1997575392
589	0.1994210747
590	0.1990592342
591	0.1987514036
592	0.1983345009
593	0.1980481321
594	0.1977277062
595	0.1973826179
596	0.1970568512
597	0.1966787326
598	0.196401257
599	0.1960508656
600	0.1957043814
601	0.1954209061
602	0.1949606599
603	0.1946290259
604	0.1941780912
605	0.1938840506
606	0.1935541278
607	0.1932251535
608	0.1928665495
609	0.1925856152
610	0.1922585135
611	0.1919755897
612	0.1915300269
613	0.19115364
614	0.1908466917
615	0.1905749552
616	0.1902832127
617	0.1900012505
618	0.1895686044
619	0.1892332391
620	0.1888610025
621	0.1885858495
622	0.1883797768
623	0.1880678325
624	0.1877765901
625	0.1873612723
626	0.1869234051
627	0.1866330959
628	0.1863069129
629	0.1860053092
630	0.1856966908
631	0.1853971387
632	0.185117779
633	0.1847635529
634	0.1844528456
635	0.1841312418
636	0.1838970343
637	0.1835534308
638	0.1832579256
639	0.1830229546
640	0.1826978924
641	0.1824481022
642	0.182156264
643	0.181899728
644	0.1816342208
645	0.1813399453
646	0.1810688957
647	0.180759985
648	0.180399332
649	0.1800957607
650	0.1797935067
651	0.1794651733
652	0.1792337729
653	0.1788501553
654	0.1785874044
655	0.1782617703
656	0.1780175197
657	0.1777192847
658	0.1774291737
659	0.1771925115
660	0.1769354794
661	0.176659891
662	0.1764009043
663	0.1761185829
664	0.1758531494
665	0.1754839844
666	0.1752146378
667	0.1749853642
668	0.1747631299
669	0.1745015226
670	0.174235074
671	0.1739778129
672	0.173710583
673	0.1733820916
674	0.173107716
675	0.1728463718
676	0.172585119
677	0.1723197702
678	0.1720845628
679	0.1717912091
680	0.1715323681
681	0.1712991936
682	0.1710511389
683	0.1707871627
684	0.1705562224
685	0.1703078704
686	0.1700164888
687	0.1697830585
688	0.169570351
689	0.1693214092
690	0.1689960197
691	0.1687560779
692	0.1685410266
693	0.168267743
694	0.1679886193
695	0.1677324146
696	0.1674441564
697	0.1672332084
698	0.1669599081
699	0.1667053781
700	0.1664433599
701	0.1662305164
702	0.1659755254
703	0.1657488507
704	0.1655064839
705	0.1652904206
706	0.1650397996
707	0.1648409864
708	0.1646370787
709	0.1644084751
710	0.1641701718
711	0.1638875511
712	0.1636492323
713	0.1634257718
714	0.1631574982
715	0.1629486405
716	0.1627037925
717	0.1624689699
718	0.1622197782
719	0.1620367209
720	0.1618388947
721	0.1615640137
722	0.1613953543
723	0.1611967096
724	0.1609808845
725	0.1607612941
726	0.1605391633
727	0.1603278825
728	0.1601215123
729	0.1599351257
730	0.159736925
731	0.1594987095
732	0.1592236058
733	0.1590309462
734	0.1588164345
735	0.1586276108
736	0.1584564373
737	0.1582260944
738	0.1580500615
739	0.1578303062
740	0.1576067944
741	0.1573835915
742	0.1571638242
743	0.1569421791
744	0.1567125697
745	0.1565200318
746	0.1562642156
747	0.1560391799
748	0.1558086839
749	0.1556202406
750	0.1554549532
751	0.1552680612
752	0.1550597346
753	0.1548999023
754	0.1547244865
755	0.1545185364
756	0.1543645448
757	0.1541814897
758	0.1539988334
759	0.1537984449
760	0.1535773495
761	0.1534110493
762	0.1532412761
763	0.1530828941
764	0.1528688094
765	0.152675001
766	0.1525224348
767	0.1523252144
768	0.1521421691
769	0.1519401127
770	0.1517751285
771	0.1515949998
772	0.1513844316
773	0.1512372031
774	0.1510534815
775	0.1508703138
776	0.1506660466
777	0.1504978589
778	0.1502943922
779	0.1500771291
780	0.1498455693
781	0.1496283107
782	0.149466882
783	0.1492862977
784	0.1491304814
785	0.148902845
786	0.1487190036
787	0.1485062866
788	0.1483098801
789	0.1481438372
790	0.1479809832
791	0.1477469402
792	0.1475789372
793	0.1473952709
794	0.1472161085
795	0.1470413156
796	0.1468518772
797	0.1466577329
798	0.1465059261
799	0.1463053776
800	0.1461086063
801	0.145954709
802	0.1457983188
803	0.145614482
804	0.1454750023
805	0.1453225879
806	0.1451591751
807	0.1449703152
808	0.1448073942
809	0.1446399883
810	0.1444815762
811	0.1443360851
812	0.1441877588
813	0.1439810851
814	0.1438552444
815	0.1436924341
816	0.1435467065
817	0.1433690196
818	0.1432402453
819	0.14304539
820	0.14289347
821	0.1427144531
822	0.1425732028
823	0.1423932943
824	0.1421937514
825	0.1420620258
826	0.1418829667
827	0.1417396308
828	0.1415620433
829	0.1413620314
830	0.1412126027
831	0.141052176
832	0.1408806807
833	0.1407500826
834	0.1405835379
835	0.1404628754
836	0.1403218543
837	0.1401880946
838	0.1400109108
839	0.1398628025
840	0.1396546303
841	0.139488378
842	0.1393261295
843	0.1391549054
844	0.1389824712
845	0.1387917902
846	0.1386439615
847	0.1384976504
848	0.1383308504
849	0.138197744
850	0.1380819733
851	0.1379287437
852	0.1378010372
853	0.1376330335
854	0.1374989203
855	0.137338834
856	0.1371691131
857	0.1370216484
858	0.13686563
859	0.1367226658
860	0.1365909074
861	0.1364007394
862	0.1362449381
863	0.1360523419
864	0.1358997339
865	0.1357492338
866	0.1355919123
867	0.1354417834
868	0.1353137275
869	0.1351636502
870	0.1350331066
871	0.1348799009
872	0.1347171637
873	0.1345571641
874	0.1344478379
875	0.1343333718
876	0.1341961381
877	0.1340354609
878	0.1338947417
879	0.1337459647
880	0.1336318763
881	0.1334545891
882	0.1333298706
883	0.1331819587
884	0.1330448462
885	0.1328838247
886	0.1327317102
887	0.1325953168
888	0.1324478361
889	0.1323235213
890	0.1322204439
891	0.1320584144
892	0.1319481033
893	0.1318285613
894	0.1317153636
895	0.1315897853
896	0.1314590133
897	0.1313206539
898	0.1312117895
899	0.1310535834
900	0.1309240323
901	0.1308168097
902	0.1306892645
903	0.1305732608
904	0.1304539065
905	0.1302983342
906	0.1301843968
907	0.1300573442
908	0.1299158195
909	0.1297863264
910	0.1296700535
911	0.1295296331
912	0.1294044549
913	0.1292654551
914	0.1291480764
915	0.129032801
916	0.1289217746
917	0.1288096227
918	0.128671826
919	0.1285678555
920	0.1284075751
921	0.1282512991
922	0.1281162602
923	0.1279820141
924	0.1278645743
925	0.1277423679
926	0.1275970074
927	0.1274679946
928	0.127358018
929	0.1272246048
930	0.1270746433
931	0.1269582718
932	0.1268694272
933	0.1267257278
934	0.1266095366
935	0.1264930832
936	0.1263750285
937	0.1262509721
938	0.1261298039
939	0.1259975759
940	0.1258910572
941	0.1257520322
942	0.1256337392
943	0.1255379611
944	0.1254107531
945	0.1253054015
946	0.1251950507
947	0.1251031867
948	0.1249911125
949	0.1248434785
950	0.124743617
951	0.1246170903
952	0.1245017707
953	0.1243891161
954	0.1242644538
955	0.1241564276
956	0.124056155
957	0.1239464421
958	0.1238211028
959	0.1236792866
960	0.1235864861
961	0.1234776228
962	0.1233772483
963	0.1232284682
964	0.1231251607
965	0.12303901
966	0.1229286314
967	0.1228046431
968	0.122678035
969	0.122568617
970	0.1224660621
971	0.1223446178
972	0.1222478583
973	0.1221184464
974	0.1220464475
975	0.1219414007
976	0.1218265964
977	0.1217196941
978	0.1216070739
979	0.121497691
980	0.1213765139
981	0.1212690109
982	0.1211589853
983	0.1210311948
984	0.1209398741
985	0.1208269436
986	0.1207271907
987	0.1206196597
988	0.1204637926
989	0.1203825557
990	0.120263412
991	0.1201692262
992	0.1200296525
993	0.119944689
994	0.1198445696
995	0.1197446967
996	0.1195846584
997	0.1194884464
998	0.1194083051
999	0.1192870573
